Tahun;Minggu;Curah_Hujan_mm;Suhu_C;Kelembapan_%;Penyinaran_Jam;Hasil_Panen_Kg
2016;1;133.0;27.7;86.4;6.4;478.9
2016;2;171.9;27.4;85.8;5.9;434.4
2016;3;173.7;26.9;87.9;5.5;442.8
2016;4;184.3;28.3;84.9;5.5;434.8
2016;5;151.4;27.8;90.1;6.2;465.9
2016;6;197.1;28.0;89.8;5.5;424.1
2016;7;200.9;26.6;90.7;3.8;374.1
2016;8;217.0;27.6;92.3;5.6;413.3
2016;9;232.8;26.5;92.1;4.8;380.0
2016;10;212.6;27.0;88.8;6.2;419.2
2016;11;228.0;27.0;89.9;4.8;386.6
2016;12;218.8;26.6;87.0;4.8;410.2
2016;13;220.2;26.7;89.4;4.4;365.0
2016;14;253.9;27.2;88.5;4.9;381.2
2016;15;223.6;27.2;91.7;5.7;441.5
2016;16;219.7;26.8;89.7;4.9;387.1
2016;17;208.5;27.5;92.5;4.8;392.9
2016;18;209.0;26.7;88.2;5.3;409.0
2016;19;229.6;27.3;89.2;5.1;420.8
2016;20;177.7;27.2;85.3;5.8;447.0
2016;21;181.8;28.3;86.4;4.6;406.6
2016;22;188.3;27.4;90.8;6.2;466.1
2016;23;196.9;26.8;84.7;4.2;381.0
2016;24;181.6;27.3;83.4;6.3;456.0
2016;25;144.4;27.8;85.5;6.4;457.2
2016;26;145.7;28.0;83.5;7.7;485.8
2016;27;119.4;28.8;80.7;7.7;499.9
2016;28;119.8;28.6;83.8;7.5;494.4
2016;29;101.5;28.5;80.8;6.8;494.2
2016;30;116.1;28.5;82.9;7.6;498.2
2016;31;90.7;28.3;77.0;7.8;500.3
2016;32;73.9;28.6;79.1;8.0;525.3
2016;33;37.9;28.6;76.2;7.8;547.6
2016;34;80.4;28.9;78.3;7.1;506.6
2016;35;71.6;28.5;77.6;7.9;537.7
2016;36;75.8;28.7;79.4;8.1;557.4
2016;37;43.8;29.0;76.6;7.8;506.4
2016;38;36.3;29.5;75.4;8.1;566.2
2016;39;58.9;29.4;77.7;7.8;530.5
2016;40;53.4;28.9;73.9;8.6;521.2
2016;41;35.7;28.6;75.4;8.8;580.4
2016;42;86.8;29.3;77.3;6.8;513.4
2016;43;107.6;29.1;77.3;8.5;536.7
2016;44;68.4;28.6;78.0;7.2;480.6
2016;45;97.1;28.5;79.2;8.8;551.9
2016;46;70.4;28.8;76.0;7.6;533.5
2016;47;89.5;27.1;74.5;7.0;511.1
2016;48;101.8;28.5;77.1;7.4;467.0
2016;49;114.2;28.9;78.9;7.8;496.4
2016;50;121.1;28.2;81.5;7.8;515.2
2016;51;117.0;26.7;83.9;7.2;486.7
2016;52;130.0;28.8;79.4;6.0;439.7
2017;1;157.5;27.6;88.1;6.3;450.3
2017;2;171.8;27.4;82.5;6.4;442.9
2017;3;189.5;27.8;85.7;5.9;433.4
2017;4;189.2;27.3;82.3;5.7;421.5
2017;5;166.3;27.8;86.2;4.4;408.7
2017;6;187.5;26.5;88.3;4.7;414.6
2017;7;191.2;27.7;89.1;5.2;406.9
2017;8;230.4;27.4;88.0;5.4;392.4
2017;9;196.7;27.1;89.3;5.2;414.9
2017;10;246.5;26.4;90.7;5.0;409.7
2017;11;229.6;27.2;93.3;5.2;412.0
2017;12;222.3;27.1;86.6;4.2;392.7
2017;13;198.0;27.0;90.0;4.9;381.1
2017;14;192.8;27.6;90.2;5.0;437.2
2017;15;230.5;26.0;89.2;5.2;391.3
2017;16;218.7;26.8;92.5;5.6;386.7
2017;17;254.0;26.7;93.3;4.1;384.6
2017;18;203.9;27.1;90.5;4.6;403.0
2017;19;212.9;27.8;91.0;6.3;439.8
2017;20;207.0;27.1;86.1;4.5;391.6
2017;21;193.9;27.4;88.1;4.7;431.1
2017;22;187.4;28.1;86.9;5.1;414.1
2017;23;112.5;27.8;85.3;6.6;450.7
2017;24;160.1;27.6;82.1;5.2;411.1
2017;25;168.6;28.4;81.0;6.2;458.1
2017;26;145.9;27.2;81.8;5.6;456.2
2017;27;175.9;28.1;77.9;7.2;492.6
2017;28;145.1;28.3;82.4;7.0;487.2
2017;29;125.0;28.0;79.3;6.9;476.6
2017;30;101.6;29.0;77.1;7.9;511.3
2017;31;37.3;28.4;78.5;7.9;543.2
2017;32;80.2;28.3;80.3;7.3;487.9
2017;33;61.1;28.5;77.5;7.6;514.3
2017;34;79.3;29.2;78.3;7.8;510.6
2017;35;56.1;28.8;78.5;7.9;511.3
2017;36;40.8;29.8;74.6;7.4;523.3
2017;37;84.3;29.0;76.8;7.3;484.6
2017;38;50.6;28.8;76.8;7.6;540.5
2017;39;74.4;28.2;76.5;8.1;546.6
2017;40;54.7;29.5;75.9;8.5;577.8
2017;41;90.0;28.1;77.0;8.4;509.6
2017;42;42.0;29.0;78.4;8.5;542.0
2017;43;41.2;27.8;79.9;7.8;515.5
2017;44;72.0;28.8;77.2;8.4;527.5
2017;45;53.6;28.7;77.9;7.2;497.9
2017;46;61.5;29.1;81.1;8.5;528.2
2017;47;76.4;27.9;82.7;7.2;502.7
2017;48;89.6;28.5;77.6;7.0;483.0
2017;49;65.5;28.5;82.0;7.7;543.9
2017;50;135.6;28.2;82.4;6.6;482.4
2017;51;124.0;27.0;82.1;6.8;456.6
2017;52;148.5;28.6;80.7;7.0;489.4
2018;1;133.7;27.7;81.7;5.9;453.1
2018;2;182.5;27.4;81.6;4.2;388.1
2018;3;148.3;27.7;85.9;4.9;432.1
2018;4;178.0;27.4;85.2;6.2;452.6
2018;5;194.5;28.0;87.0;5.6;435.2
2018;6;194.8;26.7;91.2;5.9;408.9
2018;7;189.7;26.7;85.2;5.4;441.7
2018;8;221.0;28.0;87.9;5.2;395.2
2018;9;220.1;27.7;90.6;5.5;408.6
2018;10;240.6;27.8;90.7;4.0;379.2
2018;11;231.8;26.7;87.7;4.3;397.5
2018;12;231.7;27.8;86.4;5.0;424.1
2018;13;263.0;26.7;93.2;5.4;411.3
2018;14;233.2;27.5;91.8;4.4;344.7
2018;15;247.9;27.6;91.3;4.5;376.7
2018;16;196.0;27.9;89.4;5.3;414.6
2018;17;177.6;27.5;91.7;6.0;438.4
2018;18;205.8;27.3;86.7;4.5;405.6
2018;19;203.4;27.0;89.0;5.0;443.1
2018;20;194.6;28.1;89.1;5.9;439.6
2018;21;188.7;27.4;85.8;5.7;443.6
2018;22;138.1;26.9;83.9;6.1;462.8
2018;23;164.5;28.4;84.7;6.2;464.4
2018;24;158.6;28.3;83.9;6.1;453.5
2018;25;164.4;28.6;82.3;5.5;447.7
2018;26;102.2;28.0;84.1;5.4;442.4
2018;27;123.5;28.1;82.1;7.0;493.5
2018;28;89.9;28.9;80.7;6.7;508.2
2018;29;98.3;27.9;76.7;7.9;484.2
